absence,presence
abundant,scarce
accept,refuse
accurate,inaccurate
admit,deny
advance,"retreat, retire"
advantage,disadvantage
agree,disagree
alive,dead
ally,enemy
always,never
ancient,modern
answer,"question, query"
approached,"receded, departed"
approval,disapproval
arrival,departure
artificial,natural
ascend,descend
asleep,awake
attack,defense
attention,inattention
attractive,repulsive
backward,"forward, onward"
bad,good
beautiful,ugly
beginning,ending
below,above
bend,straighten
bent,straight
best,worst
better,worse
big,"small, little"
bitter,sweet
blame,praise
bless,curse
blunt,sharp
bold,"timid, meek"
borrow,lend
bravery,cowardice
bright,dull
broad,narrow
build,"destroy, demolish"
calm,troubled
capable,incapable
captivity,"freedom, liberty"
careful,"rush, careless"
cellar,attic
cheap,"dear, expensive"
clear,"vague, cloudy"
clever,stupid
clockwise,anti-clockwise
close,distant
cold,hot
combine,separate
come,go
comfort,discomfort
common,rare
conceal,reveal
correct,incorrect
courage,cowardice
courteous,"discourteous, rude"
cruel,kind
cunning,simple
dainty,clumsy
danger,safety
dark,light
decrease,increase
deep,shallow
definite,indefinite
demand,supply
despair,hope
disappear,appear
discourage,encourage
disease,health
dismal,cheerful
doctor,patient
dry,wet
dull,"clear, bright"
dusk,dawn
early,late
East,West
easy,difficult
ebb,flow
economise,waste
employer,employee
empty,full
encourage,discourage
end,beginning
entrance,exit
excited,calm
expand,contract
expensive,"inexpensive, cheap"
export,import
exterior,interior
external,internal
fail,succeed
famous,unknown
fast,slow
fat,thin
feeble,"sturdy, strong, powerful"
few,many
find,lose
first,last
fold,unfold
foolish,wise
forelegs,hind legs
forget,remember
fortunate,unfortunate
found,lost
frank,secretive
freedom,captivity
frequent,seldom
fresh,stale
friend,enemy
full,empty
gather,distribute
generous,mean
gentle,rough
giant,"dwarf, pygmy"
glad,sorry
gloomy,cheerful
granted,refused
great,"minute, small, little"
guardian,ward
guest,host
guilty,innocent
happy,"sad, miserable"
hard,soft
harmful,harmless
hasten,dawdle
hate,love
healthy,"unhealthy, ill, diseased"
heavy,light
height,depth
here,there
hero,coward
hill,valley
hinder,"aid, help"
honest,dishonest
horizontal,vertical
humble,proud
hunger,thirst
imitation,genuine
immense,"tiny, minute"
imprison,free
include,exclude
increase,decrease
inferior,superior
inhabited,uninhabited
inhale,exhale
inside,outside
intelligent,"unintelligent, stupid"
intentional,accidental
interesting,"uninteresting, dull"
interior,"exterior, outside"
internal,external
join,separate
junior,senior
justice,injustice
king,subject
knowledge,ignorance
land,sea
landlord,tenant
large,"little, small"
last,first
laugh,cry
lawful,unlawful
lawyer,client
lazy,"industrious, energetic"
leader,follower
lecturer,student
left,right
lender,borrower
lengthen,shorten
less,more
light,"dark, heavy"
like,"dislike, unlike"
likely,unlikely
little,"large, much, big"
lofty,lowly
long,short
loss,"find, win"
loud,soft
low,high
loyal,disloyal
mad,sane
magnetize,demagnetize
master,servant
mature,immature
maximum,minimum
me,you
merry,"mirthless, sad"
minority,majority
miser,spendthrift
misunderstand,understand
narrow,wide
near,"far, distant"
neat,untidy
new,old
night,day
noisy,quiet
North,South
obedient,disobedient
odd,even
offer,refuse
open,shut
optimist,pessimist
out,in
parent,child
past,present
patient,impatient
peace,war
permanent,temporary
please,displease
plentiful,scarce
poetry,prose
polite,"impolite, rude"
possible,impossible
poverty,wealth
powerful,"feeble, weak"
pretty,"unsightly, ugly"
private,public
prudent,imprudent
pure,impure
qualified,unqualified
rapid,slow
regularly,irregularly
rich,poor
right,"wrong, left"
rigid,"pliable, soft"
rough,smooth
satisfactory,unsatisfactory
scatter,collect
second-hand,new
security,insecurity
sense,nonsense
serious,trivial
shopkeeper,customer
simple,complicated
singular,plural
slim,"thick, stout"
sober,drunk
solid,liquid
sorrow,joy
sour,sweet
sow,reap
speaker,listener
stand,lie
straight,crooked
strong,weak
success,failure
sunny,cloudy
take,give
tall,short
tame,wild
teacher,pupil
thick,thin
tight,"slack, loose"
